il_kod,ilce_kod,il_adi,ilce_adi,gida_mevcut,gida_tahmin,gida_tahmin_yuvarlak,gida_fark,gida_durumu,nufus_18plus,yuzolcum,toplam_hayvan_2024,denetim_sayisi,tarim_alani_2024
17,1293,Çanakkale,Eceabat,2.0,1.2548742,1,1.0,norm_fazlasi,4783,,479,391.0,166340.0
17,1326,Çanakkale,Ezine,2.0,1.3932363,1,1.0,norm_fazlasi,14998,,533,824.0,268469.0
17,1340,Çanakkale,Gelibolu,2.0,1.445423,1,1.0,norm_fazlasi,28560,,540,1017.0,393209.0
17,1408,Çanakkale,Gökçeada,1.0,1.5331553,2,-1.0,norm_eksigi,6543,,428,697.0,29875.0
17,1503,Çanakkale,Lapseki,2.0,1.5726445,2,0.0,dengede,18147,,589,579.0,231215.0
17,1722,Çanakkale,Yenice,1.0,1.424671,1,0.0,dengede,8218,,506,755.0,277433.0
18,1765,Çankýrý,Atkaracalar,0.0,0.0,0,0.0,dengede,3541,,315,48.0,97267.0
18,1885,Çankýrý,Bayramören,0.0,0.0,0,0.0,dengede,449,,292,10.0,15857.0
18,1248,Çankýrý,Çerkeþ,0.0,0.011212602,0,0.0,dengede,9533,,362,209.0,282738.0
18,1300,Çankýrý,Eldivan,0.0,0.0,0,0.0,dengede,2770,,400,62.0,84733.0
18,1399,Çankýrý,Ilgaz,0.0,0.0,0,0.0,dengede,6069,,383,173.0,140493.0
18,1817,Çankýrý,Kýzýlýrmak,0.0,0.0,0,0.0,dengede,1621,,352,96.0,319116.0
18,1963,Çankýrý,Korgun,0.0,0.0,0,0.0,dengede,1862,,359,40.0,40536.0
18,1494,Çankýrý,Kurþunlu,0.0,0.0,0,0.0,dengede,5465,,317,122.0,138820.0
18,1555,Çankýrý,Orta,0.0,0.0,0,0.0,dengede,9534,,259,107.0,144599.0
18,1649,Çankýrý,Þabanözü,0.0,0.0010537878,0,0.0,dengede,7179,,349,142.0,181102.0
18,1718,Çankýrý,Yapraklý,0.0,0.0,0,0.0,dengede,1458,,424,37.0,171460.0
19,1124,Çorum,Alaca,1.0,0.89096755,1,0.0,dengede,14303,,469,360.0,867512.0
19,1177,Çorum,Bayat,0.0,0.01914756,0,0.0,dengede,4231,,417,185.0,317007.0
19,1778,Çorum,Boðazkale,0.0,0.0,0,0.0,dengede,1738,,366,71.0,105142.0
19,1911,Çorum,Dodurga,0.0,0.0,0,0.0,dengede,2045,,328,69.0,66973.0
19,1414,Çorum,Ýskilip,1.0,0.9999774,1,0.0,dengede,13709,,494,333.0,386880.0
19,1445,Çorum,Kargý,0.0,0.06774466,0,0.0,dengede,4402,,554,293.0,105809.0
19,1972,Çorum,Laçin,0.0,0.0,0,0.0,dengede,1166,,434,36.0,79778.0
19,1520,Çorum,Mecitözü,0.0,0.00044161826,0,0.0,dengede,3217,,461,138.0,420532.0
