il_adi,ilce_adi,gida_muhendisi,gida_tahmini_norm,gida_tahmini_norm_yuvarlak,gida_norm_farki,gida_durumu
Bartýn,Amasra,1.0,0.8927932586793932,1.0,0.10720674132060681,dengede
Balýkesir,Bandýrma,4.0,3.90916268940028,4.0,0.09083731059971978,dengede
Muþ,Varto,1.0,0.9185023038480393,1.0,0.08149769615196067,dengede
Antalya,Kepez,9.0,8.930572993839743,9.0,0.06942700616025732,dengede
Muðla,Köyceðiz,2.0,1.938123078702061,2.0,0.06187692129793909,dengede
Nevþehir,Gülþehir,1.0,0.9405489113410144,1.0,0.05945108865898563,dengede
Adana,Aladað,1.0,0.952799870177031,1.0,0.04720012982296895,dengede
Sivas,Gürün,1.0,0.9537220624433518,1.0,0.04627793755664822,dengede
Aksaray,Sultanhaný,1.0,0.9643788153587645,1.0,0.03562118464123554,dengede
Muþ,Malazgirt,1.0,0.9656771948833338,1.0,0.03432280511666619,dengede
Giresun,Þebinkarahisar,1.0,0.9669707432000201,1.0,0.03302925679997992,dengede
Afyonkarahisar,Ýscehisar,1.0,0.9721706480353669,1.0,0.027829351964633098,dengede
Manisa,Köprübaþý,1.0,0.9737962100443012,1.0,0.02620378995569883,dengede
Aydýn,Nazilli,4.0,3.9875639079313085,4.0,0.012436092068691451,dengede
Muðla,Dalaman,2.0,1.9904834488467873,2.0,0.009516551153212705,dengede
Mardin,Dargeçit,1.0,0.997182104471058,1.0,0.0028178955289419605,dengede
Konya,Karapýnar,2.0,2.0054383166534673,2.0,-0.005438316653467279,dengede
Balýkesir,Erdek,2.0,2.0101339496768635,2.0,-0.01013394967686354,dengede
Van,Gürpýnar,1.0,1.0206022961041041,1.0,-0.020602296104104134,dengede
Konya,Altýnekin,1.0,1.0270687228837905,1.0,-0.027068722883790475,dengede
Aydýn,Ýncirliova,2.0,2.028818580934986,2.0,-0.028818580934986127,dengede
Konya,Cihanbeyli,2.0,2.029071363502217,2.0,-0.02907136350221684,dengede
Samsun,Yakakent,1.0,1.032031775842417,1.0,-0.0320317758424169,dengede
Düzce,Çilimli,1.0,1.0360990046734235,1.0,-0.03609900467342353,dengede
Van,Gevaþ,1.0,1.040409188786068,1.0,-0.04040918878606803,dengede
Afyonkarahisar,Bolvadin,2.0,2.0405616774221933,2.0,-0.0405616774221933,dengede
Gümüþhane,Þiran,1.0,1.043978757968853,1.0,-0.04397875796885309,dengede
Düzce,Gölyaka,1.0,1.0492331997737003,1.0,-0.04923319977370033,dengede
Kastamonu,Ýnebolu,1.0,1.0494578999535191,1.0,-0.049457899953519124,dengede
Ýzmir,Karabaðlar,8.0,8.053820653558123,8.0,-0.053820653558123155,dengede
Aksaray,Eskil,1.0,1.0598466061100065,1.0,-0.05984660611000647,dengede
Muðla,Ula,2.0,2.060349751221455,2.0,-0.060349751221454806,dengede
Adana,Kozan,3.0,3.0661203567214392,3.0,-0.06612035672143923,dengede
Van,Muradiye,1.0,1.0692248890492762,1.0,-0.06922488904927615,dengede
Aydýn,Yenipazar,1.0,1.0696215222932133,1.0,-0.06962152229321328,dengede
Van,Çaldýran,1.0,1.081693282311332,1.0,-0.0816932823113321,dengede
Eskiþehir,Seyitgazi,1.0,1.0818089672392657,1.0,-0.08180896723926567,dengede
Konya,Ilgýn,2.0,2.086218172841416,2.0,-0.08621817284141597,dengede
Kocaeli,Karamürsel,2.0,2.086638797475167,2.0,-0.086638797475167,dengede
Balýkesir,Gönen,3.0,3.0875402321428167,3.0,-0.0875402321428167,dengede
Diyarbakýr,Hani,1.0,1.0888728361760687,1.0,-0.08887283617606867,dengede
Bursa,Karacabey,3.0,3.097952283149635,3.0,-0.09795228314963511,dengede
Kocaeli,Gölcük,3.0,3.0987233314255196,3.0,-0.09872333142551959,dengede
Diyarbakýr,Kulp,1.0,1.1026423486846517,1.0,-0.10264234868465172,dengede
Çanakkale,Gelibolu,2.0,2.1109516914093094,2.0,-0.11095169140930938,dengede
Sakarya,Söðütlü,1.0,1.1143292740333255,1.0,-0.11432927403332549,dengede
Ordu,Gölköy,1.0,1.1144305572641544,1.0,-0.11443055726415441,dengede
Çanakkale,Ayvacýk,2.0,2.118859997201438,2.0,-0.11885999720143792,dengede
Ordu,Aybastý,1.0,1.1217182290335086,1.0,-0.1217182290335086,dengede
Samsun,Terme,2.0,2.123340410072478,2.0,-0.12334041007247798,dengede
Manisa,Gölmarmara,1.0,1.141756218534863,1.0,-0.1417562185348631,dengede
Mardin,Mazýdaðý,1.0,1.1427109647601479,1.0,-0.14271096476014788,dengede
Tekirdað,Ergene,2.0,2.1504886260590244,2.0,-0.15048862605902436,dengede
Ankara,Çubuk,3.0,3.160921898964327,3.0,-0.16092189896432707,dengede
Elazýð,Kovancýlar,1.0,1.1677600866492632,1.0,-0.16776008664926323,dengede
Ordu,Kumru,1.0,1.17295616609622,1.0,-0.17295616609622,dengede
Konya,Çumra,2.0,2.176983249175138,2.0,-0.1769832491751382,dengede
Konya,Hüyük,1.0,1.1860167959334915,1.0,-0.18601679593349152,dengede
Osmaniye,Düziçi,2.0,2.1879704507295443,2.0,-0.18797045072954432,dengede
Diyarbakýr,Yeniþehir,4.0,4.189250693819011,4.0,-0.1892506938190106,dengede
Kayseri,Develi,2.0,2.1926010327000283,2.0,-0.19260103270002826,dengede
Bilecik,Osmaneli,1.0,1.2009339961094443,1.0,-0.2009339961094443,dengede
Kütahya,Simav,2.0,2.201240215498701,2.0,-0.20124021549870097,dengede
Diyarbakýr,Dicle,1.0,1.2029573978983024,1.0,-0.20295739789830236,dengede
Ýzmir,Karþýyaka,7.0,7.2048843959585485,7.0,-0.20488439595854846,dengede
Batman,Kozluk,1.0,1.2052931615857272,1.0,-0.2052931615857272,dengede
Artvin,Hopa,1.0,1.2085537355996898,1.0,-0.20855373559968982,dengede
Edirne,Ýpsala,1.0,1.2092163511198164,1.0,-0.2092163511198164,dengede
Ýzmir,Foça,2.0,2.210876014363243,2.0,-0.21087601436324288,dengede
Kayseri,Yeþilhisar,1.0,1.2153181744533814,1.0,-0.21531817445338142,dengede
Ýstanbul,Þiþli,6.0,6.219892261851579,6.0,-0.21989226185157928,dengede
