il_adi,ilce_adi,il_ilce,y2020,y2021,y2022,y2023,y2024,il_kod,ilce_kod
Düzce,Cumayeri,Düzce Cumayeri,54839,54920,54944,54899,54899,81,1784
Düzce,Gölyaka,Düzce Gölyaka,49314,50069,49135,49244,48315,81,1794
Düzce,Gümüþova,Düzce Gümüþova,37909,38045,37875,37860,37861,81,2017
Düzce,Kaynaþlý,Düzce Kaynaþlý,27440,28052,28954,29211,29136,81,2031
Düzce,Merkez,Düzce Merkez,204329,207675,206087,208346,207052,81,1292
Düzce,Yýðýlca,Düzce Yýðýlca,100208,101091,101180,100738,102548,81,1730
Düzce,Çilimli,Düzce Çilimli,52510,53447,52666,52952,52987,81,1905
Edirne,Enez,Edirne Enez,135605,133631,133542,145487,140969,22,1307
Edirne,Havsa,Edirne Havsa,356193,386686,379445,393106,363763,22,1385
Edirne,Keþan,Edirne Keþan,559465,573760,560037,559821,557825,22,1464
Edirne,Lalapaþa,Edirne Lalapaþa,222545,233772,239201,238569,243624,22,1502
Edirne,Meriç,Edirne Meriç,202368,207305,208938,208113,207359,22,1523
Edirne,Merkez,Edirne Merkez,501353,555490,573394,577143,582067,22,1295
Edirne,Süloðlu,Edirne Süloðlu,112428,172409,163396,163502,177790,22,1988
Edirne,Uzunköprü,Edirne Uzunköprü,550587,574717,633939,664044,698877,22,1705
Edirne,Ýpsala,Edirne Ýpsala,468427,468352,519184,504844,526544,22,1412
Elazýð,Alacakaya,Elazýð Alacakaya,22243,25674,25796,29870,30395,23,1873
Elazýð,Arýcak,Elazýð Arýcak,43501,44820,45014,46043,60110,23,1762
Elazýð,Aðýn,Elazýð Aðýn,45166,46568,45246,49070,46974,23,1110
Elazýð,Baskil,Elazýð Baskil,340200,334345,295895,279573,250091,23,1173
Elazýð,Karakoçan,Elazýð Karakoçan,105201,108050,118908,116234,100076,23,1438
Elazýð,Keban,Elazýð Keban,41418,41715,58365,58390,60591,23,1455
Elazýð,Kovancýlar,Elazýð Kovancýlar,313125,309069,283937,290764,284843,23,1820
Elazýð,Maden,Elazýð Maden,55109,54745,56416,50092,49944,23,1506
Elazýð,Merkez,Elazýð Merkez,768182,803734,792983,801236,711059,23,1298
Elazýð,Palu,Elazýð Palu,49705,55725,57115,59475,58452,23,1566
Elazýð,Sivrice,Elazýð Sivrice,83555,83731,45237,96604,69590,23,1631
Erzincan,Kemah,Erzincan Kemah,59605,62253,64705,67524,70007,24,1459
Erzincan,Kemaliye,Erzincan Kemaliye,19683,20792,21081,21143,22146,24,1460
Erzincan,Merkez,Erzincan Merkez,303530,334631,324359,321591,325189,24,1318
Erzincan,Otlukbeli,Erzincan Otlukbeli,53820,59659,60992,60007,58788,24,1977
Erzincan,Refahiye,Erzincan Refahiye,161196,166042,170374,171730,199325,24,1583
Erzincan,Tercan,Erzincan Tercan,341948,402080,407749,426105,460428,24,1675
Erzincan,Çayýrlý,Erzincan Çayýrlý,206758,230258,236567,232825,232714,24,1243
Erzincan,Üzümlü,Erzincan Üzümlü,43927,42486,46413,49130,50141,24,1853
Erzincan,Ýliç,Erzincan Ýliç,65641,70088,72949,78229,82828,24,1406
